systemid,pref,city,url_pc
Chiba_Abiko,千葉県,我孫子市,https://www.library.city.abiko.chiba.jp/
Chiba_Asahi,千葉県,旭市,http://www.library-asahi-chiba.jp/
Chiba_Chiba,千葉県,千葉市,http://www.library.city.chiba.jp/
Chiba_Chiba_Gakushu,千葉県,千葉市,http://chiba-gakushu.jp/rent/rent_01_11.html
Chiba_Chosei,千葉県,長生郡長生村,http://www.chosei-bunkahall.jp/
Chiba_Choshi,千葉県,銚子市,http://www.city.choshi.chiba.jp/edu/sg-guide/toshokan/toshokantop.html
Chiba_CHP,千葉県,千葉市,http://www.chp.or.jp/joho_siryo/joho/joho_01.html
Chiba_Funabashi,千葉県,船橋市,https://www.lib.city.funabashi.lg.jp/
Chiba_Futtsu,千葉県,富津市,https://www.city.futtsu.lg.jp/0000000779.html
Chiba_Ichihara,千葉県,市原市,http://www.library.ichihara.chiba.jp/
Chiba_Ichikawa,千葉県,市川市,https://www.ekinan-lib.jp/
Chiba_Inzai,千葉県,印西市,http://www.library.city.inzai.lg.jp/
Chiba_Kamagaya,千葉県,鎌ケ谷市,https://library-kamagaya-chiba.com/
Chiba_Kamogawa,千葉県,鴨川市,https://www.city.kamogawa.lg.jp/site/library/
Chiba_Kashiwa,千葉県,柏市,https://tosho.city.kashiwa.lg.jp/
Chiba_Katori,千葉県,香取市,https://www.lics-saas.nexs-service.jp/katori/
Chiba_Katsuura,千葉県,勝浦市,https://www.city.katsuura.lg.jp/forms/menutop/menutop.aspx?menu_id=1806
Chiba_Kimitsu,千葉県,君津市,https://www.city.kimitsu.chiba.jp/library/index2.htm
Chiba_Kisarazu,千葉県,木更津市,https://www.city.kisarazu.lg.jp/library/index.html
Chiba_Kozaki,千葉県,香取郡神崎町,https://www.town.kozaki.chiba.jp/02kodomo/toshositsu/
Chiba_Matsudo,千葉県,松戸市,http://www.city.matsudo.chiba.jp/library/
Chiba_Minamiboso,千葉県,南房総市,http://www.city.minamiboso.chiba.jp/0000000999.html
Chiba_Mobara,千葉県,茂原市,http://opac.library-mobara.jp/
Chiba_Mutsuzawa,千葉県,長生郡睦沢町,https://www.town.mutsuzawa.chiba.jp/shisetsu/kouminkan/mustuzawalibrary.html
Chiba_Nagara,千葉県,長生郡長柄町,https://www.town.nagara.chiba.jp/soshiki/9/118.html
Chiba_Nagareyama,千葉県,流山市,http://www.subaru-shoten.co.jp/tosho/mori/
Chiba_Narashino,千葉県,習志野市,https://www.narashino-lib.jp/toshow/asp/index.aspx
Chiba_Narita,千葉県,成田市,https://www.library.city.narita.lg.jp/
Chiba_Noda,千葉県,野田市,http://www.library-noda.jp/index.html
Chiba_Oamishirasato,千葉県,大網白里市,https://www.lics-saas.nexs-service.jp/oamishirasato-chiba/
Chiba_Otaki,千葉県,夷隅郡大多喜町,"http://www.town.otaki.chiba.jp/index.cfm/6,10923,16,html"
Chiba_Pref,千葉県,松戸市,http://www.library.pref.chiba.lg.jp/
Chiba_Sakae,千葉県,印旛郡栄町,http://www.town.sakae.chiba.jp/dir.php?code=1052
Chiba_Sakura,千葉県,佐倉市,https://www.library.city.sakura.lg.jp/
Chiba_Sammu,千葉県,山武市,http://lib.city.sammu.lg.jp/
Chiba_Shibayama,千葉県,山武郡芝山町,http://www.town.shibayama.lg.jp/soshiki/24-7-0-0-0_500.html
Chiba_Shiroi,千葉県,白井市,https://www.center.shiroi.chiba.jp/library/
Chiba_Shisui,千葉県,印旛郡酒々井町,http://www.tosyokan.town.shisui.chiba.jp/
Chiba_Sodegaura,千葉県,袖ケ浦市,https://sodelib.jp/
Chiba_Sosa,千葉県,匝瑳市,http://www.library.sosa.chiba.jp/
Chiba_Tako,千葉県,香取郡多古町,https://www.town.tako.chiba.jp/unit/library/
Chiba_Tateyama,千葉県,館山市,http://www.city.tateyama.chiba.jp/library/index.html
Chiba_Togane,千葉県,東金市,http://www.city.togane.chiba.jp/category/1-8-6-0-0.html
